# _tick,_time,frames,mean_episode_return_0,loss_0
5203,1718030143.2610521,5463150,-0.0665087103843689,0.7158769369125366
5204,1718030143.7316618,5464200,-0.06635533273220062,0.7323882579803467
5205,1718030144.2108479,5465250,-0.06523928046226501,0.722739040851593
5206,1718030144.6837199,5466300,-0.06529536098241806,0.7321152091026306
5207,1718030145.1443238,5467350,-0.06536474078893661,0.7321617007255554
5208,1718030145.6275241,5468400,-0.0665212869644165,0.7038559317588806
5209,1718030146.1109278,5469450,-0.06686639785766602,0.7336310744285583
5210,1718030146.5846727,5470500,-0.06687746196985245,0.6811325550079346
5211,1718030147.0608351,5471550,-0.06674662232398987,0.7524055242538452
5212,1718030147.5442,5472600,-0.06665442138910294,0.6932065486907959
5213,1718030148.0110562,5473650,-0.06622125953435898,0.7680963277816772
5214,1718030148.5110383,5474700,-0.06664220988750458,0.725195050239563
5215,1718030149.0276713,5475750,-0.06650640070438385,0.7411704659461975
5216,1718030149.4942994,5476800,-0.06634869426488876,0.759215235710144
5217,1718030149.9775589,5477850,-0.06629757583141327,0.7731961607933044
5218,1718030150.4609702,5478900,-0.06651833653450012,0.6937441825866699
5219,1718030150.9276948,5479950,-0.06646344810724258,0.7672736644744873
5220,1718030151.3942456,5481000,-0.06624892354011536,0.7343116402626038
5221,1718030151.8942525,5482050,-0.06587699055671692,0.7557885050773621
5222,1718030152.3448553,5483100,-0.06603549420833588,0.680948793888092
5223,1718030152.8109386,5484150,-0.06644805520772934,0.6801628470420837
5224,1718030153.2942665,5485200,-0.0666685700416565,0.7162434458732605
5225,1718030153.7775779,5486250,-0.0662173256278038,0.6601743102073669
5226,1718030154.2443368,5487300,-0.06620654463768005,0.7219814658164978
5227,1718030154.7110922,5488350,-0.06732974946498871,0.7567912936210632
5228,1718030155.1891372,5489400,-0.06764484196901321,0.741734504699707
5229,1718030155.6448295,5490450,-0.06768066436052322,0.7168546319007874
5230,1718030156.1269708,5491500,-0.06809008121490479,0.7147998213768005
5231,1718030156.627588,5492550,-0.0680825486779213,0.7520443797111511
5232,1718030157.1109593,5493600,-0.06828969717025757,0.7042457461357117
5233,1718030157.5775366,5494650,-0.06829071044921875,0.7261443734169006
5234,1718030158.0443223,5495700,-0.06830354034900665,0.7291285991668701
5235,1718030158.5443497,5496750,-0.06787827610969543,0.7511009573936462
5236,1718030159.01089,5497800,-0.06789848208427429,0.6968291997909546
5237,1718030159.4775584,5498850,-0.0679965391755104,0.7050820589065552
5238,1718030159.960821,5499900,-0.06753553450107574,0.7078052163124084
5239,1718030160.4609823,5500950,-0.06699052453041077,0.7280586361885071
5240,1718030160.9443414,5502000,-0.06658180058002472,0.7596108913421631
5241,1718030161.4274516,5503050,-0.06631201505661011,0.7276442050933838
5242,1718030161.9107473,5504100,-0.06638437509536743,0.6867570877075195
5243,1718030162.411048,5505150,-0.06652863323688507,0.7040033936500549
5244,1718030162.8935745,5506200,-0.06669338792562485,0.6768637895584106
5245,1718030163.3799663,5507250,-0.06571473181247711,0.7378723621368408
5246,1718030163.8258996,5508300,-0.06546905636787415,0.7086854577064514
5247,1718030164.3108816,5509350,-0.06550511717796326,0.7053513526916504
